PLAYER,TEAM,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,W,L,SO,GAA,Sv%,CLAUSE,EXPIRY,CAP HIT,SALARY
172. Oliver Bjorkstrand,SEA,28,"RW, LW",Right,82,20,39,59,0.72,-20,186,0.11,16:10,-,-,-,-,-,M-NTC,UFA,"$5,400,000","$5,350,000"
173. Elvis Merzlikins,CBJ,29,G,Left,41,-,-,-,-,-,-,-,-,13,17,1,3.45,.897,M-NTC,UFA,"$5,400,000","$6,000,000"
174. Tristan Jarry,PIT,28,G,Left,51,-,-,-,-,-,-,-,-,19,25,6,2.91,.903,M-NTC,UFA,"$5,375,000","$6,800,000"
175. Mikael Backlund,CGY,34,C,Left,82,15,24,39,0.48,-4,209,0.07,19:14,-,-,-,-,-,NMC,UFA,"$5,350,000","$5,350,000"
176. Jason Zucker,NSH,31,"LW, RW",Left,69,14,18,32,0.46,-9,150,0.09,13:49,-,-,-,-,-,,UFA,"$5,300,000","$5,300,000"
177. Jaccob Slavin,CAR,29,LD,Left,81,6,31,37,0.46,21,151,0.04,20:55,-,-,-,-,-,M-NTC,UFA,"$5,300,000","$5,500,000"
178. Bryan Little,-,35,"C, RW",Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,M-NTC,UFA,"$5,291,667","$3,750,000"
179. Brady Skjei,CAR,29,LD,Left,80,13,34,47,0.59,15,185,0.07,21:16,-,-,-,-,-,M-NTC,UFA,"$5,250,000","$5,400,000"
180. Charlie Coyle,BOS,31,"C, RW",Right,82,25,35,60,0.73,-2,147,0.17,18:03,-,-,-,-,-,"M-NTC, NMC",UFA,"$5,250,000","$4,500,000"
181. Jakub Vrána,STL,27,LW,Left,21,2,4,6,0.29,-7,42,0.05,12:07,-,-,-,-,-,,UFA,"$5,250,000","$5,750,000"
182. Joel Eriksson Ek,MIN,26,C,Left,77,30,34,64,0.83,18,267,0.11,20:31,-,-,-,-,-,,UFA,"$5,250,000","$6,000,000"
183. Jakob Silfverberg,-,32,"RW, LW",Right,81,7,12,19,0.23,4,102,0.07,13:03,-,-,-,-,-,M-NTC,UFA,"$5,250,000","$5,250,000"
184. Alec Martinez,VGK,35,LD,Left,55,4,13,17,0.31,-2,72,0.06,19:02,-,-,-,-,-,M-NTC,UFA,"$5,250,000","$5,750,000"
185. Darcy Kuemper,WSH,33,G,Left,33,-,-,-,-,-,-,-,-,13,14,1,3.31,.890,M-NTC,UFA,"$5,250,000","$6,000,000"
186. Erik Cernak,TBL,26,RD,Right,69,2,11,13,0.19,5,53,0.04,19:11,-,-,-,-,-,,UFA,"$5,200,000","$6,760,000"
187. Shea Theodore,VGK,27,LD/RD,Left,47,5,37,42,0.89,4,105,0.05,22:05,-,-,-,-,-,M-NTC,UFA,"$5,200,000","$5,200,000"
188. Tom Wilson,WSH,29,RW,Right,74,18,17,35,0.47,-19,169,0.11,18:06,-,-,-,-,-,M-NTC,UFA,"$5,166,667","$6,100,000"
189. Yanni Gourde,SEA,31,"C, LW, RW",Left,80,11,22,33,0.41,-11,156,0.07,17:26,-,-,-,-,-,M-NTC,UFA,"$5,166,666","$5,100,000"
