PLAYER,TEAM,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,W,L,SO,GAA,Sv%,CLAUSE,EXPIRY,CAP HIT,SALARY
106. Brayden Schenn,STL,31,"C, LW",Left,82,20,26,46,0.56,-22,170,0.12,17:46,-,-,-,-,-,NTC,UFA,"$6,500,000","$8,000,000"
107. Torey Krug,STL,32,LD,Left,77,4,35,39,0.51,-31,162,0.02,21:57,-,-,-,-,-,NTC,UFA,"$6,500,000","$8,500,000"
108. Sam Reinhart,FLA,27,RW,Right,82,57,37,94,1.15,29,233,0.24,20:17,-,-,-,-,-,,UFA,"$6,500,000","$6,500,000"
109. Brendan Gallagher,MTL,31,"RW, LW",Right,77,16,15,31,0.40,-24,154,0.10,13:47,-,-,-,-,-,"M-NTC, NMC",UFA,"$6,500,000","$8,000,000"
110. Claude Giroux,OTT,35,"RW, C",Right,82,21,43,64,0.78,-14,183,0.11,20:05,-,-,-,-,-,NMC,UFA,"$6,500,000","$7,000,000"
111. Justin Faulk,STL,31,RD,Right,60,2,28,30,0.50,-2,132,0.02,21:57,-,-,-,-,-,NTC,UFA,"$6,500,000","$7,900,000"
112. Colton Parayko,STL,30,RD,Right,82,10,16,26,0.32,4,154,0.06,23:51,-,-,-,-,-,NTC,UFA,"$6,500,000","$8,000,000"
113. John Gibson,ANA,29,G,Left,46,-,-,-,-,-,-,-,-,13,27,0,3.54,.888,M-NTC,UFA,"$6,400,000","$6,400,000"
114. Anthony Cirelli,TBL,25,"C, LW",Left,79,20,25,45,0.57,2,129,0.16,18:31,-,-,-,-,-,,UFA,"$6,250,000","$8,125,000"
115. Travis Sanheim,PHI,27,LD/RD,Left,81,10,34,44,0.54,-20,146,0.07,23:48,-,-,-,-,-,NTC,UFA,"$6,250,000","$8,125,000"
116. Matt Murray,TOR,29,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,M-NTC,UFA,"$6,250,000","$8,000,000"
117. Jeff Petry,DET,35,RD,Right,73,3,21,24,0.33,-7,84,0.04,18:47,-,-,-,-,-,"M-NTC, NMC",UFA,"$6,250,000","$7,500,000"
118. Ryan Ellis,PHI,32,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$6,250,000","$7,500,000"
119. Alex Killorn,ANA,33,"RW, LW",Left,63,18,18,36,0.57,-15,145,0.12,18:43,-,-,-,-,-,NTC,UFA,"$6,250,000","$6,250,000"
120. Mattias Ekholm,EDM,33,LD/RD,Left,79,11,34,45,0.57,44,177,0.06,21:02,-,-,-,-,-,,UFA,"$6,250,000","$6,500,000"
121. Joshua Morrissey,WPG,28,LD,Left,81,10,59,69,0.85,34,196,0.05,24:10,-,-,-,-,-,NMC,UFA,"$6,250,000","$8,000,000"
122. MacKenzie Weegar,CGY,29,LD/RD,Right,82,20,32,52,0.63,2,208,0.10,22:55,-,-,-,-,-,NTC,UFA,"$6,250,000","$6,250,000"
123. Damon Severson,CBJ,28,RD,Right,67,9,19,28,0.42,-10,88,0.10,21:08,-,-,-,-,-,NTC,UFA,"$6,250,000","$8,000,000"
124. Connor Hellebuyck,WPG,30,G,Left,60,-,-,-,-,-,-,-,-,37,19,5,2.39,.921,NMC,UFA,"$6,166,667","$7,500,000"
125. Ryan Pulock,NYI,28,RD,Right,58,5,14,19,0.33,3,90,0.06,22:33,-,-,-,-,-,NTC,UFA,"$6,150,000","$6,150,000"
126. Valeri Nichushkin,COL,28,"RW, LW",Left,54,28,25,53,0.98,5,158,0.18,21:21,-,-,-,-,-,NMC,UFA,"$6,125,000","$7,500,000"
127. Mark Scheifele,WPG,30,C,Right,74,25,47,72,0.97,19,154,0.16,20:11,-,-,-,-,-,NMC,UFA,"$6,125,000","$6,000,000"
128. Brad Marchand,BOS,35,LW,Left,82,29,38,67,0.82,2,207,0.14,19:06,-,-,-,-,-,M-NTC,UFA,"$6,125,000","$5,000,000"
129. Evgeni Malkin,PIT,36,C,Left,82,27,40,67,0.82,5,199,0.14,18:35,-,-,-,-,-,NMC,UFA,"$6,100,000","$6,000,000"
130. Kris Letang,PIT,36,RD,Right,82,10,41,51,0.62,13,164,0.06,24:41,-,-,-,-,-,NMC,UFA,"$6,100,000","$8,000,000"
131. Mats Zuccarello,MIN,35,"RW, LW",Left,69,12,51,63,0.91,-5,173,0.07,18:53,-,-,-,-,-,"M-NTC, NMC",UFA,"$6,000,000","$5,000,000"
132. Tyler Myers,VAN,33,RD,Right,77,5,24,29,0.38,16,93,0.05,18:56,-,-,-,-,-,M-NTC,UFA,"$6,000,000","$6,000,000"
133. Jake Guentzel,CAR,28,"LW, RW",Left,67,30,47,77,1.15,25,238,0.13,20:00,-,-,-,-,-,M-NTC,UFA,"$6,000,000","$6,000,000"
134. Nikolaj Ehlers,WPG,27,"RW, LW",Left,82,25,36,61,0.74,27,233,0.11,15:52,-,-,-,-,-,M-NTC,UFA,"$6,000,000","$6,500,000"
135. Taylor Hall,CHI,31,LW,Left,10,2,2,4,0.40,-3,20,0.10,16:19,-,-,-,-,-,"M-NTC, NMC",UFA,"$6,000,000","$7,250,000"
136. Jonas Brodin,MIN,29,LD,Left,62,7,20,27,0.44,22,117,0.06,23:22,-,-,-,-,-,NMC,UFA,"$6,000,000","$8,000,000"
137. Brock Nelson,NYI,31,"C, LW",Left,82,34,35,69,0.84,-5,250,0.14,18:05,-,-,-,-,-,M-NTC,UFA,"$6,000,000","$5,600,000"
138. Jacob Markström,CGY,33,G,Left,48,-,-,-,-,-,-,-,-,23,23,2,2.78,.905,NMC,UFA,"$6,000,000","$8,000,000"
139. Ondrej Palat,NJD,32,"LW, RW",Left,71,11,20,31,0.44,-9,108,0.10,15:38,-,-,-,-,-,NMC,UFA,"$6,000,000","$6,900,000"
140. Jordan Binnington,STL,29,G,Left,57,-,-,-,-,-,-,-,-,28,21,3,2.84,.913,NTC,UFA,"$6,000,000","$7,500,000"
141. Rasmus Dahlin,BUF,23,LD/RD,Left,81,20,39,59,0.73,-3,235,0.09,25:25,-,-,-,-,-,,RFA,"$6,000,000","$7,200,000"
142. Nate Schmidt,WPG,31,LD/RD,Left,63,2,12,14,0.22,10,75,0.03,16:48,-,-,-,-,-,M-NTC,UFA,"$5,950,000","$4,950,000"
143. William Karlsson,VGK,30,C,Left,70,30,30,60,0.86,15,175,0.17,17:36,-,-,-,-,-,M-NTC,UFA,"$5,900,000","$5,600,000"
144. Philipp Grubauer,SEA,31,G,Left,36,-,-,-,-,-,-,-,-,14,16,2,2.86,.899,NTC,UFA,"$5,900,000","$7,250,000"
145. Vladislav Gavrikov,LAK,27,LD,Left,77,6,17,23,0.30,9,114,0.05,20:37,-,-,-,-,-,NMC,UFA,"$5,875,000","$6,500,000"
146. Neal Pionk,WPG,27,RD,Right,82,5,28,33,0.40,9,146,0.03,20:49,-,-,-,-,-,M-NTC,UFA,"$5,875,000","$7,500,000"
147. Cam Atkinson,PHI,34,"RW, LW",Right,70,13,15,28,0.40,-22,175,0.07,15:56,-,-,-,-,-,M-NTC,UFA,"$5,875,000","$5,275,000"
148. Nick Schmaltz,UTA,27,"RW, C",Right,79,22,39,61,0.77,-16,158,0.14,19:10,-,-,-,-,-,M-NTC,UFA,"$5,850,000","$7,500,000"
149. Adam Henrique,EDM,33,"LW, C",Left,82,24,27,51,0.62,9,140,0.17,16:50,-,-,-,-,-,M-NTC,UFA,"$5,825,000","$5,825,000"
150. Esa Lindell,DAL,29,LD,Left,82,5,21,26,0.32,17,114,0.04,20:28,-,-,-,-,-,NMC,UFA,"$5,800,000","$5,000,000"
151. Esa Lindell,DAL,29,LD,Left,82,5,21,26,0.32,17,114,0.04,20:28,-,-,-,-,-,NMC,UFA,"$5,800,000","$5,000,000"
152. Pavel Buchnevich,STL,28,"LW, RW, C",Left,80,27,36,63,0.79,3,207,0.13,19:49,-,-,-,-,-,M-NTC,UFA,"$5,800,000","$6,900,000"
153. Adam Pelech,NYI,28,LD,Left,58,1,15,16,0.28,-2,71,0.01,20:16,-,-,-,-,-,NTC,UFA,"$5,750,000","$5,750,000"
154. Trevor Zegras,ANA,22,"C, LW",Left,31,6,9,15,0.48,-1,73,0.08,17:05,-,-,-,-,-,,RFA,"$5,750,000","$5,750,000"
155. T.J. Oshie,WSH,36,RW,Right,52,12,13,25,0.48,-6,90,0.13,16:52,-,-,-,-,-,M-NTC,UFA,"$5,750,000","$5,000,000"
156. Anthony Mantha,VGK,28,"LW, RW",Left,74,23,21,44,0.59,11,113,0.20,14:13,-,-,-,-,-,,UFA,"$5,700,000","$6,500,000"
157. Igor Shesterkin,NYR,27,G,Left,55,-,-,-,-,-,-,-,-,36,17,4,2.58,.912,M-NTC,UFA,"$5,666,667","$7,000,000"
158. Andrew Copp,DET,28,"C, LW, RW",Left,79,13,20,33,0.42,-2,109,0.12,16:16,-,-,-,-,-,M-NTC,UFA,"$5,625,000","$6,250,000"
159. Vincent Trocheck,NYR,29,"C, RW",Right,82,25,52,77,0.94,16,215,0.12,21:27,-,-,-,-,-,NMC,UFA,"$5,625,000","$6,500,000"
160. Jake Muzzin,-,34,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,M-NTC,UFA,"$5,625,000","$4,000,000"
161. Travis Konecny,PHI,26,"RW, LW",Right,76,33,35,68,0.89,4,244,0.14,19:50,-,-,-,-,-,,UFA,"$5,500,000","$6,000,000"
162. Andrei Kuzmenko,CGY,27,"LW, RW",Right,72,22,24,46,0.64,-9,121,0.18,14:53,-,-,-,-,-,M-NTC,UFA,"$5,500,000","$5,500,000"
163. Josh Anderson,MTL,29,"RW, LW",Right,78,9,11,20,0.26,-18,141,0.06,15:27,-,-,-,-,-,M-NTC,UFA,"$5,500,000","$8,000,000"
164. André Burakovsky,SEA,28,"RW, LW",Left,49,7,9,16,0.33,-15,92,0.08,14:33,-,-,-,-,-,M-NTC,UFA,"$5,500,000","$6,250,000"
165. Adrian Kempe,LAK,26,"LW, RW",Left,77,28,47,75,0.97,13,246,0.11,18:56,-,-,-,-,-,,UFA,"$5,500,000","$5,750,000"
166. Phillip Danault,LAK,30,C,Left,78,17,30,47,0.60,12,159,0.11,18:01,-,-,-,-,-,NMC,UFA,"$5,500,000","$6,750,000"
167. Zach Hyman,EDM,31,"RW, LW",Right,80,54,23,77,0.96,36,290,0.19,19:30,-,-,-,-,-,NMC,UFA,"$5,500,000","$7,650,000"
168. Tyler Bertuzzi,TOR,28,"LW, RW",Left,80,21,22,43,0.54,2,160,0.13,16:02,-,-,-,-,-,NMC,UFA,"$5,500,000","$5,500,000"
169. Jaden Schwartz,SEA,31,LW,Left,62,13,17,30,0.48,-15,117,0.11,16:21,-,-,-,-,-,NMC,UFA,"$5,500,000","$7,000,000"
170. Jordan Eberle,SEA,33,RW,Right,78,17,27,44,0.56,1,168,0.10,17:26,-,-,-,-,-,M-NTC,UFA,"$5,500,000","$3,750,000"
171. Teuvo Teräväinen,CAR,28,"LW, RW",Left,76,25,28,53,0.70,15,142,0.18,16:24,-,-,-,-,-,M-NTC,UFA,"$5,400,000","$5,875,000"
