Player,Team_start,Team_end,Shoots,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI_min,FOW%
David Perron,DET,DET,R,L,76,17,30,47,-12,55,0.62,10,30,7,17,0,0,0,4,151,11.3,15.63,47.1
Phillip Danault,LAK,LAK,L,C,78,17,30,47,12,18,0.6,14,36,3,9,0,2,0,2,159,10.7,18.02,51.9
Thomas Harley,DAL,DAL,L,D,79,15,32,47,28,18,0.59,13,37,1,9,1,1,3,3,144,10.4,21.02,0.0
Brady Skjei,CAR,CAR,L,D,80,13,34,47,15,40,0.59,11,31,1,12,1,4,0,2,185,7.0,21.28,0.0
Noah Hanifin,CGY,VGK,L,D,80,13,34,47,19,24,0.59,8,32,5,13,0,2,0,2,164,7.9,23.62,0.0
Charlie McAvoy,BOS,BOS,R,D,74,12,35,47,4,86,0.64,11,34,1,13,0,0,2,3,133,9.0,24.85,0.0
Max Domi,TOR,TOR,L,C,80,9,38,47,10,118,0.59,8,45,1,2,0,0,0,1,137,6.6,13.78,50.0
Luke Hughes,NJD,NJD,L,D,82,9,38,47,-25,28,0.57,5,22,4,25,0,0,1,1,135,6.7,21.47,0.0
Brock Faber,MIN,MIN,R,D,82,8,39,47,-1,26,0.57,5,31,3,16,0,0,0,1,136,5.9,24.97,0.0
Jeff Skinner,BUF,BUF,L,L,74,24,22,46,-2,34,0.62,16,34,8,12,0,0,1,3,211,11.4,16.0,41.9
Nicholas Paul,TBL,TBL,L,L,82,24,22,46,-16,27,0.56,15,32,9,14,0,0,0,2,153,15.7,17.27,54.3
Andrei Kuzmenko,VAN,CGY,R,L,72,22,24,46,-9,12,0.64,14,27,8,19,0,0,1,4,121,18.2,14.88,100.0
Brayden Schenn,STL,STL,L,C,82,20,26,46,-22,56,0.56,15,33,4,12,1,1,2,3,170,11.8,17.78,49.4
Vince Dunn,SEA,SEA,L,D,59,11,35,46,8,78,0.78,7,29,4,16,0,1,0,0,120,9.2,23.08,0.0
Nick Bjugstad,ARI,ARI,R,C,76,22,23,45,11,59,0.59,19,38,2,6,1,1,1,2,165,13.3,17.45,49.2
Ryan Hartman,MIN,MIN,R,R,74,21,24,45,4,72,0.61,16,35,5,10,0,0,0,3,173,12.1,16.52,47.0
Anthony Cirelli,TBL,TBL,L,C,79,20,25,45,2,38,0.57,15,36,3,7,2,2,1,3,129,15.5,18.52,49.2
Ivan Barbashev,VGK,VGK,L,C,82,19,26,45,15,42,0.55,16,40,3,5,0,0,0,3,122,15.6,16.12,42.5
Tommy Novak,NSH,NSH,L,C,71,18,27,45,-3,8,0.63,12,33,6,12,0,0,0,1,113,15.9,14.2,42.2
William Eklund,SJS,SJS,L,L,80,16,29,45,-45,30,0.56,8,28,8,16,0,1,2,5,128,12.5,18.67,31.3
Alex Kerfoot,ARI,ARI,L,C,82,13,32,45,-15,26,0.55,9,30,2,12,2,3,0,3,103,12.6,17.43,47.8
Mattias Ekholm,EDM,EDM,L,D,79,11,34,45,44,47,0.57,8,41,2,3,1,1,0,3,177,6.2,21.05,0.0
Evander Kane,EDM,EDM,L,L,77,24,20,44,-4,85,0.57,21,36,2,7,1,1,1,3,220,10.9,16.78,48.0
Fabian Zetterlund,SJS,SJS,R,L,82,24,20,44,-34,33,0.54,17,27,6,16,1,1,0,0,204,11.8,18.85,32.9
Anthony Mantha,WSH,VGK,L,R,74,23,21,44,11,25,0.59,20,36,3,8,0,0,0,0,113,20.4,14.22,27.3
Logan Cooley,ARI,ARI,L,C,82,20,24,44,-13,18,0.54,16,30,3,13,1,1,1,2,151,13.3,15.82,38.0
Jordan Eberle,SEA,SEA,R,R,78,17,27,44,1,17,0.56,11,32,6,12,0,0,1,3,168,10.1,17.45,42.5
Elias Lindholm,CGY,VAN,R,C,75,15,29,44,-14,25,0.59,8,29,6,12,1,3,0,4,173,8.7,19.7,56.4
Travis Sanheim,PHI,PHI,L,D,81,10,34,44,-20,48,0.54,9,35,0,5,1,4,0,3,146,6.9,23.8,0.0
Tyler Bertuzzi,TOR,TOR,L,L,80,21,22,43,2,53,0.54,16,37,5,6,0,0,0,2,160,13.1,16.05,30.8
Daniel Sprong,DET,DET,R,R,76,18,25,43,-5,22,0.57,15,31,3,12,0,0,0,1,160,11.3,12.0,66.7
Brent Burns,CAR,CAR,R,D,82,10,33,43,19,20,0.52,5,22,4,20,1,1,0,0,185,5.4,21.5,0.0
Brandon Saad,STL,STL,L,L,82,26,16,42,-4,20,0.51,21,37,5,5,0,0,2,7,144,18.1,15.5,42.9
Anthony Duclair,SJS,TBL,L,L,73,24,18,42,-8,34,0.58,19,30,5,12,0,0,0,1,129,18.6,15.77,37.0
Lawson Crouse,ARI,ARI,L,L,81,23,19,42,-7,36,0.52,16,31,7,10,0,1,0,2,171,13.5,16.82,31.1
Kirill Marchenko,CBJ,CBJ,R,R,78,23,19,42,-5,14,0.54,14,29,9,13,0,0,0,1,193,11.9,16.42,32.9
Mason McTavish,ANA,ANA,L,C,64,19,23,42,-23,86,0.66,14,32,4,8,1,2,1,3,130,14.6,16.28,51.7
Moritz Seider,DET,DET,R,D,82,9,33,42,-7,51,0.51,6,24,3,17,0,1,0,0,135,6.7,22.37,0.0
Shea Theodore,VGK,VGK,L,D,47,5,37,42,4,6,0.89,3,27,2,15,0,0,0,1,105,4.8,22.08,0.0
Sam Bennett,FLA,FLA,L,C,69,20,21,41,17,100,0.59,15,29,5,12,0,0,0,2,171,11.7,16.62,45.5
Warren Foegele,EDM,EDM,L,L,82,20,21,41,3,47,0.5,18,38,1,1,1,2,0,2,201,10.0,13.98,45.5
Eeli Tolvanen,SEA,SEA,L,R,81,16,25,41,-15,24,0.51,15,31,1,10,0,0,0,3,153,10.5,15.65,34.3
