player,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI_min,FOW%,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,team_start,team_end,shoots,pos,age,country,weight,height_in,pos_multi,handed,signing_team,extension,signing_date,signing_age,clause,length,signing,expiry,exp_year,aav
Damon Severson,67,9,19,28,-10,51,0.42,9,23,0,3,0,2,0,1,88,10.2,21.15,0.0,5.94,88,216,131,0.25,3.73,9.15,5.55,720,780,48.0,1497,1445,50.88,1053,1077,49.44,74.01,82.0,47.44,CBJ,CBJ,R,D,28,Canada,205,74,False,Right,NJD,True,2023-06-09,28,NTC,8,UFA,unrestricted,2031,6250000
Jake McCabe,73,8,20,28,20,56,0.38,7,25,1,2,0,1,1,3,73,11.0,20.65,0.0,4.59,72,187,113,0.18,2.86,7.44,4.5,703,775,47.56,1418,1608,46.86,1024,1163,46.82,79.15,85.55,48.06,TOR,TOR,L,D,29,United States,204,73,True,Left,CHI,False,2021-07-28,27,M-NTC,4,UFA,unrestricted,2025,4000000
Jake Evans,82,7,21,28,-1,24,0.34,6,27,0,0,1,1,0,1,81,8.6,16.02,52.2,10.25,81,174,123,0.47,3.7,7.95,5.62,475,873,35.24,962,1740,35.6,672,1231,35.31,47.87,102.75,31.78,MTL,MTL,R,C,27,Canada,190,73,False,Right,MTL,True,2021-10-03,26,None,3,RFA,unrestricted,2025,1700000
Teddy Blueger,68,6,22,28,4,31,0.41,4,24,0,0,2,4,0,0,97,6.2,14.93,53.1,13.28,97,160,133,0.8,5.81,9.59,7.97,431,524,45.13,848,1023,45.32,629,734,46.15,48.43,53.67,47.43,VAN,VAN,L,C,28,Other,185,72,True,Left,VAN,False,2023-07-01,28,None,1,UFA,unrestricted,2024,1900000
Pavel Mintyukov,63,4,24,28,-20,24,0.44,4,20,0,7,0,1,0,0,88,4.6,18.85,0.0,6.38,88,169,111,0.32,4.45,8.53,5.61,586,614,48.83,1142,1186,49.05,848,880,49.07,63.99,67.42,48.69,ANA,ANA,L,D,19,Russia,194,74,False,Left,ANA,False,2022-07-16,18,None,3,ELC,restricted,2026,1701667
Nick Leddy,82,3,25,28,14,14,0.34,2,25,0,1,1,2,0,0,82,3.7,22.37,0.0,3.72,82,172,119,0.12,2.68,5.63,3.89,772,1089,41.48,1452,2178,40.0,1092,1611,40.4,79.28,122.39,39.31,STL,STL,L,D,32,United States,207,72,False,Left,STL,False,2022-07-13,31,NTC,4,UFA,unrestricted,2026,4000000
Michael Amadio,73,14,13,27,4,16,0.37,11,22,3,5,0,0,0,2,117,12.0,13.4,51.5,12.46,114,185,147,0.77,7.09,11.5,9.14,501,419,54.46,1021,965,51.41,709,648,52.25,48.42,37.7,56.22,VGK,VGK,R,R,27,Canada,204,73,True,Right,VGK,True,2022-01-30,26,None,2,RFA,unrestricted,2024,762500
Nicholas Robertson,56,14,13,27,4,4,0.48,13,24,1,3,0,0,0,1,96,14.6,11.38,27.3,9.59,96,168,133,0.9,9.03,15.82,12.53,344,275,55.57,650,598,52.08,495,413,54.52,32.6,26.38,55.27,TOR,TOR,L,L,21,United States,178,69,True,Left,TOR,False,2019-09-19,17,None,3,ELC,restricted,2024,796667
Eetu Luostarinen,82,12,15,27,1,26,0.33,10,24,2,2,0,1,0,2,119,10.1,15.93,53.6,18.39,120,236,184,0.84,5.51,10.84,8.44,634,623,50.44,1333,1247,51.67,930,922,50.22,65.26,68.03,48.96,FLA,FLA,L,C,24,Finland,184,75,True,Left,FLA,True,2022-07-08,23,None,2,RFA,restricted,2024,1500000
Jesperi Kotkaniemi,79,12,15,27,-4,36,0.34,11,24,1,2,0,1,0,0,128,9.4,12.98,51.6,16.14,128,259,192,0.94,7.48,15.14,11.23,609,437,58.22,1290,820,61.14,920,613,60.01,61.1,45.97,57.07,CAR,CAR,L,C,22,Finland,198,74,False,Left,CAR,True,2022-03-21,21,None,8,RFA,unrestricted,2030,4820000
Adam Fantilli,49,12,15,27,-21,16,0.55,11,24,1,3,0,0,0,1,115,10.4,15.72,43.6,12.65,115,247,170,0.99,8.96,19.25,13.25,392,386,50.39,841,724,53.74,579,536,51.93,42.27,38.11,52.59,CBJ,CBJ,L,C,18,Canada,195,74,False,Left,CBJ,False,2023-07-01,18,None,3,ELC,restricted,2026,4150000
Alex Iafallo,82,11,16,27,14,6,0.33,9,21,2,5,0,1,0,2,120,9.2,15.32,32.0,17.42,118,246,193,0.84,5.71,11.9,9.34,600,568,51.37,1181,1182,49.98,879,836,51.25,63.5,57.68,52.4,WPG,WPG,L,L,29,United States,188,72,True,Left,LAK,True,2021-04-12,27,None,4,UFA,unrestricted,2025,4000000
Kiefer Sherwood,68,10,17,27,17,41,0.4,10,27,0,0,0,0,0,2,110,9.1,12.17,48.4,11.05,109,216,165,0.8,7.9,15.66,11.96,419,400,51.16,842,758,52.62,618,553,52.78,40.25,36.54,52.41,NSH,NSH,R,L,28,United States,194,72,True,Right,NSH,True,2023-04-16,28,None,1,UFA,unrestricted,2024,775000
Shane Pinto,41,9,18,27,9,14,0.66,5,21,4,6,0,0,1,1,110,8.2,18.12,50.6,16.61,110,205,165,1.34,8.89,16.57,13.33,446,313,58.76,907,677,57.26,664,462,58.97,56.16,29.84,65.3,OTT,OTT,R,C,22,United States,201,75,False,Right,OTT,False,2024-01-19,22,None,1,RFA,restricted,2024,775000
Jack Drury,74,8,19,27,4,33,0.36,6,20,2,7,0,0,0,0,106,7.6,12.28,55.3,13.94,106,213,163,0.92,6.99,14.05,10.75,494,328,60.1,1062,639,62.43,747,469,61.43,48.26,30.83,61.02,CAR,CAR,L,C,23,United States,174,71,False,Left,CAR,False,2021-07-07,21,None,3,ELC,restricted,2024,925000
Jonas Brodin,62,7,20,27,22,16,0.44,7,26,0,1,0,0,0,1,117,6.0,23.37,0.0,5.76,116,232,159,0.24,4.87,9.74,6.67,618,752,45.11,1277,1524,45.59,911,1086,45.62,62.11,76.66,44.76,MIN,MIN,L,D,29,Sweden,194,73,False,Left,MIN,True,2020-09-15,27,NMC,7,UFA,unrestricted,2028,6000000
Jimmy Vesey,80,13,13,26,-4,20,0.33,13,26,0,0,0,0,0,4,116,11.2,12.38,39.1,16.87,116,208,169,1.02,7.03,12.6,10.24,409,490,45.49,811,1061,43.32,590,738,44.43,44.81,51.48,46.54,NYR,NYR,L,L,30,United States,202,75,True,Left,NYR,True,2023-01-04,30,None,2,UFA,unrestricted,2025,800000
Ridly Greig,72,13,13,26,10,66,0.36,10,23,2,2,1,1,0,1,97,13.4,14.75,43.9,13.24,97,184,140,0.75,5.48,10.4,7.91,496,529,48.39,980,1063,47.97,725,749,49.19,50.76,57.16,47.03,OTT,OTT,L,C,20,Canada,181,72,True,Left,OTT,False,2020-12-29,17,None,3,ELC,restricted,2025,863333
Colton Parayko,82,10,16,26,4,23,0.32,9,23,0,1,1,2,1,4,154,6.5,23.87,0.0,6.4,154,309,211,0.2,4.72,9.48,6.47,806,1110,42.07,1513,2234,40.38,1141,1641,41.01,82.49,121.98,40.34,STL,STL,R,D,30,Canada,230,78,False,Right,STL,True,2021-09-01,29,NTC,8,UFA,unrestricted,2030,6500000
Justin Danforth,71,10,16,26,-10,26,0.37,10,26,0,0,0,0,0,1,86,11.6,14.27,48.5,14.32,87,175,143,0.85,5.15,10.36,8.47,465,604,43.5,942,1206,43.85,682,869,43.97,45.55,62.14,42.3,CBJ,CBJ,R,R,30,Canada,185,69,True,Right,CBJ,True,2022-03-08,29,None,2,UFA,unrestricted,2024,975000
Miles Wood,74,9,17,26,-5,75,0.35,8,25,0,0,1,1,0,1,167,5.4,13.68,31.7,19.07,166,279,226,1.14,9.98,16.78,13.59,516,576,47.25,1044,1132,47.98,722,820,46.82,50.03,62.38,44.51,COL,COL,L,L,27,United States,195,74,False,Left,COL,False,2023-07-01,27,None,6,UFA,unrestricted,2029,2500000
Jack McBain,67,8,18,26,8,50,0.39,8,26,0,0,0,0,1,2,56,14.3,12.62,45.2,11.26,56,122,88,0.8,3.97,8.65,6.24,367,473,43.69,732,940,43.78,517,706,42.27,39.5,49.14,44.56,ARI,ARI,L,C,23,Canada,218,76,True,Left,ARI,False,2023-07-30,23,None,2,RFA,restricted,2025,1599999
Justin Schultz,70,7,19,26,-23,22,0.37,7,16,0,10,0,0,1,2,100,7.0,16.47,0.0,5.18,99,263,160,0.27,5.23,13.89,8.44,559,429,56.58,1240,904,57.84,866,644,57.35,57.66,43.34,57.09,SEA,SEA,R,D,32,Canada,193,74,False,Right,SEA,False,2022-07-13,31,M-NTC,2,UFA,unrestricted,2024,3000000
Dmitry Orlov,82,6,20,26,4,36,0.32,5,20,0,5,1,1,0,1,129,4.7,17.32,0.0,7.88,129,320,200,0.33,5.45,13.52,8.44,720,547,56.83,1539,1048,59.49,1113,768,59.17,71.43,53.31,57.26,CAR,CAR,L,D,31,Russia,208,71,False,Left,CAR,False,2023-07-01,31,None,2,UFA,unrestricted,2025,7750000
Erik Gudbranson,78,6,20,26,-14,74,0.33,6,25,0,0,0,1,0,1,91,6.6,19.67,0.0,2.2,91,218,130,0.09,3.56,8.52,5.09,596,1014,37.02,1245,2055,37.72,874,1460,37.45,54.28,105.19,34.04,CBJ,CBJ,R,D,31,Canada,217,77,False,Right,CBJ,False,2022-07-13,30,M-NTC,4,UFA,unrestricted,2026,4000000
Esa Lindell,82,5,21,26,17,12,0.32,5,25,0,0,0,1,0,0,114,4.4,20.47,0.0,5.83,114,251,166,0.21,4.07,8.97,5.93,770,940,45.03,1491,1942,43.43,1096,1360,44.63,84.51,96.41,46.71,DAL,DAL,L,D,29,Finland,215,75,False,Left,DAL,True,2019-05-16,25,NMC,6,RFA,unrestricted,2025,5800000
J.J. Moser,80,5,21,26,-5,35,0.33,5,21,0,3,0,2,0,0,77,6.5,20.57,0.0,5.13,77,191,112,0.19,2.81,6.96,4.08,684,936,42.22,1469,1796,44.99,1026,1319,43.75,77.03,108.53,41.51,ARI,ARI,L,D,23,Other,172,72,True,Left,ARI,False,2021-08-14,21,None,3,ELC,restricted,2024,925000
Brayden McNabb,82,4,22,26,18,37,0.32,4,24,0,1,0,1,0,0,86,4.7,19.35,0.0,3.52,86,206,123,0.13,3.29,7.89,4.71,729,825,46.91,1440,1787,44.62,1027,1223,45.64,71.31,90.24,44.14,VGK,VGK,L,D,32,Canada,213,76,False,Left,VGK,True,2022-01-30,31,M-NTC,3,UFA,unrestricted,2025,2850000
Hampus Lindholm,73,3,23,26,18,63,0.36,2,21,1,5,0,0,0,0,99,3.0,23.28,0.0,6.46,99,225,138,0.23,3.49,7.94,4.87,812,852,48.8,1531,1666,47.89,1116,1228,47.61,84.36,93.72,47.37,BOS,BOS,L,D,29,Sweden,208,75,False,Left,BOS,True,2022-03-20,28,"NTC, NMC",8,UFA,unrestricted,2030,6500000
TJ Brodie,78,1,25,26,17,40,0.33,1,26,0,0,0,0,0,0,52,1.9,21.72,0.0,2.66,52,120,73,0.09,1.84,4.25,2.59,777,927,45.6,1518,1918,44.18,1111,1382,44.56,82.13,103.39,44.27,TOR,TOR,L,D,33,Canada,185,73,True,Left,TOR,False,2020-10-09,30,M-NTC,4,UFA,unrestricted,2024,5000000
Joel Armia,66,17,8,25,4,34,0.38,15,23,0,0,2,2,0,3,139,12.2,15.55,31.3,12.46,139,222,181,0.73,8.13,12.98,10.58,422,593,41.58,827,1221,40.38,603,855,41.36,41.85,73.08,36.4,MTL,MTL,R,R,30,Finland,218,76,True,Right,MTL,True,2021-07-27,28,None,4,UFA,unrestricted,2025,3400000
Simon Holmstrom,75,15,10,25,2,14,0.33,10,18,0,0,5,7,0,3,72,20.8,13.32,31.6,9.6,72,152,115,0.57,4.33,9.13,6.91,398,595,40.08,813,1206,40.27,591,840,41.3,36.64,61.43,37.36,NYI,NYI,L,R,22,Sweden,193,72,False,Left,NYI,False,2019-07-15,18,None,3,ELC,restricted,2024,863333
Logan O'Connor,57,13,12,25,13,34,0.44,10,22,0,0,3,3,0,4,85,15.3,14.95,45.3,12.3,85,174,130,0.87,5.98,12.25,9.15,411,429,48.93,838,863,49.27,600,601,49.96,39.76,49.43,44.58,COL,COL,R,R,26,Canada,175,72,True,Right,COL,True,2021-09-22,25,None,3,RFA,unrestricted,2025,1050000
T.J. Oshie,52,12,13,25,-6,44,0.48,5,14,7,11,0,0,0,4,90,13.3,16.87,27.9,18.54,90,197,158,1.27,6.16,13.48,10.81,446,409,52.16,974,873,52.73,670,603,52.63,61.65,47.09,56.69,WSH,WSH,R,R,36,United States,195,72,False,Right,WSH,True,2017-06-23,30,M-NTC,8,UFA,unrestricted,2025,5750000
Michael Eyssimont,81,11,14,25,7,104,0.31,9,21,2,4,0,0,0,2,149,7.4,11.85,46.2,12.85,149,284,214,0.8,9.31,17.73,13.36,453,420,51.89,974,858,53.17,665,602,52.49,40.45,40.22,50.14,TBL,TBL,L,C,26,United States,192,72,True,Left,TBL,True,2023-05-05,26,None,2,UFA,unrestricted,2025,800000
Josh Manson,76,8,17,25,11,87,0.33,7,23,0,0,1,2,0,0,123,6.5,17.78,0.0,6.55,122,292,177,0.28,5.49,13.14,7.96,671,664,50.26,1336,1307,50.55,938,942,49.89,62.85,72.04,46.59,COL,COL,R,D,31,United States,218,75,False,Right,COL,False,2022-07-13,30,NTC,4,UFA,unrestricted,2026,4500000
Curtis Lazar,71,7,18,25,10,44,0.35,6,24,0,0,1,1,0,2,74,9.5,12.38,48.8,10.17,74,129,99,0.69,5.05,8.8,6.75,362,439,45.19,717,902,44.29,501,652,43.45,39.02,41.38,48.53,NJD,NJD,R,C,28,Canada,211,72,True,Right,VAN,False,2022-07-13,27,None,3,UFA,unrestricted,2025,1000000
Jake Middleton,80,7,18,25,-15,77,0.31,7,24,0,0,0,1,0,1,85,8.2,19.82,0.0,5.27,84,186,116,0.2,3.22,7.12,4.44,644,888,42.04,1285,1808,41.55,920,1276,41.89,57.93,82.98,41.11,MIN,MIN,L,D,27,Canada,210,75,False,Left,MIN,True,2022-07-06,26,None,3,RFA,unrestricted,2025,2450000
Paul Cotter,76,7,18,25,-11,41,0.33,5,21,2,4,0,0,0,0,100,7.0,12.73,49.1,12.24,100,199,153,0.77,6.28,12.49,9.6,449,478,48.44,942,1023,47.94,658,699,48.49,43.77,38.26,53.36,VGK,VGK,L,C,23,United States,185,72,True,Left,VGK,True,2022-08-13,23,None,3,RFA,restricted,2026,775000
Cody Ceci,79,5,20,25,12,14,0.32,5,24,0,0,0,1,0,0,97,5.2,20.02,0.0,4.58,96,200,128,0.18,3.7,7.7,4.93,725,858,45.8,1449,1687,46.21,1042,1255,45.36,79.01,90.44,46.63,EDM,EDM,R,D,29,Canada,210,74,False,Right,EDM,False,2021-07-28,27,None,4,UFA,unrestricted,2025,3250000
Matt Roy,81,5,20,25,21,42,0.31,5,22,0,1,0,2,0,1,135,3.7,20.9,0.0,6.79,135,294,206,0.24,4.84,10.55,7.39,855,872,49.51,1636,1839,47.08,1220,1275,48.9,82.92,91.97,47.41,LAK,LAK,R,D,28,United States,200,73,False,Right,LAK,True,2021-03-21,26,None,3,RFA,unrestricted,2024,3150000
Artem Zub,69,5,20,25,5,32,0.36,4,24,0,0,1,1,0,0,85,5.9,21.02,0.0,5.11,85,188,129,0.21,3.52,7.78,5.34,699,757,48.01,1350,1513,47.15,993,1082,47.86,67.05,79.48,45.76,OTT,OTT,R,D,27,Russia,202,74,False,Right,OTT,True,2022-12-21,27,M-NTC,4,UFA,unrestricted,2027,4600000
John Marino,75,4,21,25,-6,41,0.33,4,25,0,0,0,0,0,1,57,7.0,20.95,0.0,5.33,57,154,86,0.2,2.18,5.88,3.28,661,851,43.72,1336,1598,45.54,951,1210,44.01,72.84,93.8,43.71,NJD,NJD,R,D,26,United States,181,73,False,Right,PIT,True,2021-01-03,24,None,6,RFA,unrestricted,2027,4400000
Will Borgen,82,3,22,25,-5,65,0.3,3,25,0,0,0,0,0,0,97,3.1,17.58,0.0,3.34,96,254,149,0.14,4.05,10.71,6.28,632,768,45.14,1270,1571,44.7,916,1137,44.62,60.1,73.84,44.87,SEA,SEA,R,D,26,United States,196,75,False,Right,SEA,False,2023-07-07,26,None,2,RFA,unrestricted,2025,2700000
Bobby McMann,56,15,9,24,13,52,0.43,14,23,1,1,0,0,0,0,118,12.7,11.57,60.0,11.62,118,196,159,1.08,10.94,18.17,14.74,333,330,50.23,653,646,50.27,468,472,49.79,30.95,29.28,51.39,TOR,TOR,L,C,27,Canada,220,74,True,Left,TOR,False,2022-04-29,26,None,2,UFA,unrestricted,2024,762500
Sam Lafferty,79,13,11,24,4,32,0.3,12,23,0,0,1,1,0,3,78,16.7,11.88,42.1,12.03,78,147,115,0.78,5.04,9.51,7.44,385,431,47.18,806,863,48.29,563,632,47.11,37.1,40.01,48.11,VAN,VAN,R,C,28,United States,205,74,True,Right,CHI,True,2022-04-29,27,None,2,UFA,unrestricted,2024,1150000
Pavel Dorofeyev,47,13,11,24,8,12,0.51,13,23,0,1,0,0,0,1,97,13.4,13.28,50.0,11.85,97,170,138,1.17,9.59,16.8,13.64,325,263,55.27,654,568,53.52,460,391,54.05,30.42,22.52,57.46,VGK,VGK,L,L,22,Russia,176,72,True,Left,VGK,False,2023-07-19,22,None,1,RFA,restricted,2024,825000
Tomas Tatar,70,9,15,24,8,20,0.34,9,23,0,1,0,0,0,2,72,12.5,12.45,25.0,10.31,70,157,115,0.72,4.88,10.96,8.02,410,420,49.4,837,820,50.51,586,600,49.41,36.61,39.04,48.39,COL,SEA,L,L,32,Other,183,70,True,Left,COL,False,2023-09-12,32,None,1,UFA,unrestricted,2024,1500000
Sam Steel,77,9,15,24,0,29,0.31,7,21,0,0,2,3,0,1,86,10.5,13.25,45.0,10.62,86,161,127,0.62,5.05,9.47,7.47,432,486,47.06,883,996,46.99,644,711,47.53,40.51,48.84,45.34,DAL,DAL,L,C,25,Canada,189,71,True,Left,DAL,False,2023-07-01,25,None,1,UFA,unrestricted,2024,850000
Evgeny Kuznetsov,63,8,16,24,-11,30,0.38,7,17,1,7,0,0,0,1,96,8.3,17.55,45.0,12.49,96,193,141,0.68,5.21,10.48,7.66,526,551,48.84,1079,1098,49.56,770,808,48.8,61.79,64.31,49.0,WSH,CAR,L,C,31,Russia,197,74,False,Left,WSH,False,2017-07-02,25,M-NTC,8,RFA,unrestricted,2025,7800000
Martin Pospisil,63,8,16,24,14,109,0.38,8,24,0,0,0,0,0,1,117,6.8,12.72,45.1,13.1,114,197,157,1.0,8.68,15.0,11.95,436,369,54.16,911,735,55.35,639,524,54.94,41.69,34.07,55.03,CGY,CGY,L,C,23,Other,181,74,False,Left,CGY,False,2023-07-02,23,None,1,RFA,restricted,2024,775000
Kevin Shattenkirk,61,6,18,24,-2,18,0.39,4,13,2,11,0,0,0,0,78,7.7,15.78,0.0,3.01,79,180,104,0.19,4.92,11.22,6.48,518,419,55.28,1014,907,52.79,736,638,53.57,56.65,40.47,58.33,BOS,BOS,R,D,34,United States,207,72,False,Right,BOS,False,2023-07-01,34,None,1,UFA,unrestricted,2024,1050000
David Savard,60,6,18,24,-1,24,0.4,6,24,0,0,0,0,0,0,54,11.1,20.23,0.0,2.2,54,118,74,0.11,2.67,5.83,3.66,483,815,37.21,956,1650,36.68,695,1162,37.43,47.81,93.46,33.84,MTL,MTL,R,D,32,Canada,234,74,False,Right,MTL,False,2021-07-28,30,None,4,UFA,unrestricted,2025,3500000
Mike Reilly,61,6,18,24,-1,30,0.39,5,18,0,5,1,1,0,1,126,4.8,17.15,0.0,5.23,126,262,184,0.3,7.22,15.02,10.55,592,474,55.53,1146,981,53.88,840,690,54.9,55.38,42.34,56.67,FLA,NYI,L,D,29,United States,200,73,False,Left,FLA,False,2023-07-01,29,None,1,UFA,unrestricted,2024,1000000
Jeff Petry,73,3,21,24,-7,39,0.33,3,23,0,0,0,1,0,0,84,3.6,18.8,0.0,4.05,84,198,125,0.18,3.67,8.66,5.47,568,792,41.76,1138,1597,41.61,826,1156,41.68,55.4,73.86,42.86,DET,DET,R,D,35,United States,209,75,False,Right,MTL,True,2020-09-25,33,"M-NTC, NMC",4,UFA,unrestricted,2025,6250000
Nick Perbix,77,2,22,24,8,10,0.31,2,24,0,0,0,0,1,1,57,3.5,17.08,0.0,3.22,58,151,88,0.15,2.65,6.9,4.01,584,628,48.18,1186,1250,48.69,849,863,49.59,58.36,61.25,48.79,TBL,TBL,R,D,25,United States,200,76,False,Right,TBL,True,2023-01-02,25,None,2,RFA,unrestricted,2025,1125000
Jordan Spence,71,2,22,24,5,12,0.34,1,18,1,6,0,0,0,0,80,2.5,14.43,0.0,3.66,79,195,110,0.22,4.7,11.6,6.54,580,411,58.53,1180,786,60.02,852,585,59.29,56.36,38.47,59.43,LAK,LAK,R,D,22,Other,175,70,False,Right,LAK,False,2020-06-03,19,None,3,ELC,restricted,2024,919167
Sonny Milano,49,15,8,23,4,10,0.47,12,19,3,4,0,0,0,2,50,30.0,12.5,0.0,6.03,50,91,65,0.59,4.88,8.91,6.36,261,267,49.43,561,560,50.04,394,385,50.58,28.19,24.17,53.84,WSH,WSH,L,L,27,United States,194,72,True,Left,WSH,True,2023-02-04,27,None,3,UFA,unrestricted,2026,1900000
Ryan Johansen,63,13,10,23,-6,34,0.37,9,16,4,6,0,1,0,4,78,16.7,13.65,53.1,9.64,78,132,104,0.67,5.45,9.21,7.26,455,391,53.78,904,771,53.97,633,565,52.84,46.74,41.72,52.84,COL,COL,R,C,30,Canada,218,75,True,Right,NSH,False,2017-07-28,24,None,8,RFA,unrestricted,2025,8000000
Filip Zadina,72,13,10,23,-44,18,0.32,10,19,3,4,0,0,0,3,137,9.5,13.33,22.1,14.39,137,267,196,0.9,8.56,16.68,12.24,420,576,42.17,911,1127,44.7,625,825,43.1,42.02,58.77,41.69,SJS,SJS,L,R,23,Other,189,72,True,Left,SJS,False,2023-07-10,23,None,1,UFA,unrestricted,2024,1100000
Evgenii Dadonov,51,12,11,23,-6,8,0.45,11,21,1,2,0,0,0,3,67,17.9,13.18,0.0,9.33,67,144,115,0.83,5.98,12.86,10.27,316,320,49.69,704,611,53.54,481,441,52.17,32.6,26.84,54.85,DAL,DAL,L,R,34,Russia,189,71,True,Left,DAL,True,2023-06-27,34,M-NTC,2,UFA,unrestricted,2025,2250000
Alex Laferriere,81,12,11,23,-14,46,0.28,12,20,0,3,0,0,0,2,147,8.2,13.22,53.9,16.3,143,310,231,0.93,8.14,17.64,13.14,533,487,52.25,1073,990,52.01,792,717,52.49,50.11,47.85,51.15,LAK,LAK,R,R,21,United States,173,72,False,Right,LAK,False,2023-04-09,20,None,3,ELC,restricted,2025,875000
Bobby Brink,57,11,12,23,1,10,0.4,8,18,3,5,0,0,0,2,81,13.6,13.8,57.1,11.15,80,155,113,0.85,6.11,11.84,8.63,419,330,55.94,810,680,54.36,601,465,56.38,44.4,35.85,55.33,PHI,PHI,R,R,21,United States,165,68,False,Right,PHI,False,2022-04-10,19,None,3,ELC,restricted,2024,1137500
Mike Hoffman,66,10,13,23,-21,20,0.35,7,17,3,6,0,0,0,1,71,14.1,13.73,37.5,8.61,71,160,113,0.56,4.7,10.59,7.48,404,446,47.53,831,899,48.03,600,655,47.81,42.64,50.35,45.85,SJS,SJS,L,C,33,Canada,190,72,False,Left,MTL,False,2021-07-28,31,None,3,UFA,unrestricted,2024,4500000
Casey Cizikas,70,10,13,23,-2,22,0.33,9,21,0,1,1,1,0,1,82,12.2,13.93,53.4,10.17,82,142,110,0.63,5.04,8.73,6.76,357,565,38.72,715,1199,37.36,528,801,39.72,36.02,59.4,37.75,NYI,NYI,L,C,32,Canada,195,71,False,Left,NYI,False,2021-09-01,30,None,6,UFA,unrestricted,2027,2500000
Cole Smith,80,9,14,23,5,63,0.29,8,20,0,0,1,3,0,4,112,8.0,13.68,29.4,15.79,112,194,149,0.87,6.14,10.63,8.16,422,643,39.61,872,1196,42.17,632,872,42.02,47.08,66.15,41.58,NSH,NSH,L,L,27,United States,195,75,True,Left,NSH,True,2023-02-06,27,None,1,UFA,unrestricted,2024,775000
Vladislav Gavrikov,77,6,17,23,9,28,0.3,6,22,0,0,0,1,1,1,114,5.3,20.62,0.0,5.13,112,216,144,0.2,4.28,8.26,5.51,810,817,49.78,1541,1686,47.75,1156,1188,49.32,76.28,84.54,47.43,LAK,LAK,L,D,27,Russia,213,75,False,Left,LAK,True,2023-06-07,27,NMC,2,UFA,unrestricted,2025,5875000
Max Pacioretty,47,4,19,23,-14,25,0.49,2,12,2,11,0,0,0,0,95,4.2,14.43,29.4,10.1,95,186,142,0.89,8.4,16.45,12.56,340,273,55.46,707,611,53.64,508,416,54.98,43.39,31.68,57.8,WSH,WSH,L,L,34,United States,215,74,False,Left,WSH,False,2023-07-01,34,NMC,1,UFA,unrestricted,2024,4000000
Timothy Liljegren,55,3,20,23,3,16,0.42,3,15,0,7,0,1,0,1,62,4.8,19.67,0.0,3.31,62,160,96,0.18,3.44,8.88,5.33,610,534,53.32,1162,1124,50.83,867,788,52.39,63.78,51.81,55.18,TOR,TOR,R,D,24,Sweden,190,72,False,Right,TOR,True,2022-06-27,23,None,2,RFA,restricted,2024,1400000
Rasmus Sandin,68,3,20,23,-13,24,0.34,3,18,0,5,0,0,0,1,79,3.8,21.12,0.0,4.97,79,194,111,0.21,3.3,8.11,4.63,657,711,48.03,1326,1440,47.94,936,1026,47.71,69.27,70.86,49.43,WSH,WSH,L,D,23,Sweden,183,71,False,Left,TOR,False,2022-09-29,22,None,2,RFA,restricted,2024,1400000
Corey Perry,54,12,10,22,-6,46,0.41,9,18,3,4,0,0,0,2,82,14.6,13.38,0.0,13.56,82,143,120,1.14,6.97,12.15,10.19,347,308,52.98,730,597,55.01,510,452,53.01,42.14,29.57,58.76,CHI,EDM,R,R,38,Canada,205,75,False,Right,EDM,False,2024-01-22,38,None,1,UFA,unrestricted,2024,1100000
Kyle Okposo,67,12,10,22,1,34,0.33,9,17,2,4,1,1,0,0,114,10.5,13.35,47.6,12.48,115,195,154,0.84,7.71,13.08,10.33,451,409,52.44,882,826,51.64,633,592,51.67,42.83,44.16,49.24,BUF,FLA,R,R,35,United States,216,72,False,Right,BUF,True,2023-05-24,35,None,1,UFA,unrestricted,2024,3000000
Nic Dowd,64,12,10,22,-2,47,0.34,12,22,0,0,0,0,0,2,61,19.7,15.2,48.1,8.99,61,103,86,0.55,3.76,6.35,5.3,303,529,36.42,660,1182,35.83,458,804,36.29,35.15,57.47,37.96,WSH,WSH,R,C,33,United States,195,73,False,Right,WSH,True,2021-11-14,32,None,3,UFA,unrestricted,2025,1300000
Michael McCarron,70,12,10,22,4,100,0.31,12,22,0,0,0,0,0,3,94,12.8,12.77,53.2,12.05,94,169,143,0.81,6.31,11.35,9.6,378,503,42.91,750,950,44.12,557,684,44.88,39.79,48.48,45.08,NSH,NSH,R,R,28,United States,237,77,True,Right,NSH,True,2023-04-16,28,None,1,UFA,unrestricted,2024,775000
Brett Leason,68,11,11,22,-7,14,0.32,9,20,0,0,2,2,0,0,91,12.1,13.02,41.5,8.15,91,171,128,0.56,6.26,11.77,8.81,304,512,37.25,630,1073,36.99,444,725,37.97,28.71,58.3,33.0,ANA,ANA,R,R,24,Canada,215,77,False,Right,WSH,True,2022-06-20,23,None,2,RFA,unrestricted,2024,775000
