player,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI_min,FOW%,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,team_start,team_end,shoots,pos,age,country,weight,height_in,pos_multi,handed,signing_team,extension,signing_date,signing_age,clause,length,signing,expiry,exp_year,aav
Charlie McAvoy,74,12,35,47,4,86,0.64,11,34,1,13,0,0,2,3,133,9.0,24.85,0.0,9.57,133,288,198,0.31,4.34,9.4,6.46,973,899,51.98,1875,1787,51.2,1381,1290,51.7,114.55,97.76,53.95,BOS,BOS,R,D,25,United States,208,72,False,Right,BOS,True,2021-10-15,24,None,8,RFA,unrestricted,2030,9500000
Max Domi,80,9,38,47,10,118,0.59,8,45,1,2,0,0,0,1,137,6.6,13.78,50.0,12.95,137,253,190,0.7,7.45,13.76,10.34,641,505,55.93,1219,1071,53.23,882,786,52.88,67.11,52.41,56.15,TOR,TOR,L,C,28,Canada,208,70,True,Left,TOR,False,2023-07-02,28,M-NTC,1,UFA,unrestricted,2024,3000000
Luke Hughes,82,9,38,47,-25,28,0.57,5,22,4,25,0,0,1,1,135,6.7,21.47,0.0,7.4,135,401,199,0.25,4.59,13.66,6.78,1063,767,58.09,2198,1425,60.67,1511,1095,57.98,123.95,97.15,56.06,NJD,NJD,L,D,19,United States,184,74,True,Left,NJD,False,2023-04-08,18,None,3,ELC,restricted,2025,1850000
Brock Faber,82,8,39,47,-1,26,0.57,5,31,3,16,0,0,0,1,136,5.9,24.97,0.0,8.19,133,290,183,0.24,3.94,8.6,5.43,1003,1082,48.11,1970,2140,47.93,1409,1547,47.67,112.56,110.17,50.54,MIN,MIN,R,D,20,United States,190,72,False,Right,MIN,False,2023-04-09,19,None,3,ELC,restricted,2025,1008333
Jeff Skinner,74,24,22,46,-2,34,0.62,16,34,8,12,0,0,1,3,211,11.4,16.0,41.9,22.62,211,412,295,1.14,10.7,20.88,14.95,744,539,57.99,1430,1044,57.8,1065,790,57.41,74.45,64.92,53.42,BUF,BUF,L,L,31,Canada,195,71,True,Left,BUF,True,2019-06-07,27,NMC,8,UFA,unrestricted,2027,9000000
Nicholas Paul,82,24,22,46,-16,27,0.56,15,32,9,14,0,0,0,2,153,15.7,17.27,54.3,23.82,153,286,222,1.01,6.49,12.13,9.42,802,656,55.01,1633,1220,57.24,1164,891,56.64,97.48,67.84,58.96,TBL,TBL,L,L,28,Canada,219,75,True,Left,TBL,True,2022-07-01,27,NTC,7,UFA,unrestricted,2029,3150000
Andrei Kuzmenko,72,22,24,46,-9,12,0.64,14,27,8,19,0,0,1,4,121,18.2,14.88,100.0,18.29,118,260,193,1.04,6.71,14.79,10.98,640,439,59.31,1335,803,62.44,955,611,60.98,78.56,46.89,62.62,VAN,CGY,R,L,27,Russia,194,71,True,Right,VAN,True,2023-01-26,27,M-NTC,2,UFA,unrestricted,2025,5500000
Brayden Schenn,82,20,26,46,-22,56,0.56,15,33,4,12,1,1,2,3,170,11.8,17.78,49.4,25.25,170,327,259,1.04,7.0,13.46,10.66,759,725,51.15,1491,1477,50.24,1095,1067,50.65,91.19,93.02,49.5,STL,STL,L,C,31,Canada,200,73,True,Left,STL,True,2019-10-04,28,NTC,8,UFA,unrestricted,2028,6500000
Vince Dunn,59,11,35,46,8,78,0.78,7,29,4,16,0,1,0,0,120,9.2,23.08,0.0,7.01,120,328,172,0.31,5.29,14.45,7.58,736,627,54.0,1611,1205,57.21,1080,914,54.16,80.63,59.2,57.66,SEA,SEA,L,D,26,Canada,203,72,True,Left,SEA,False,2023-07-21,26,None,4,RFA,unrestricted,2027,7350000
Nick Bjugstad,76,22,23,45,11,59,0.59,19,38,2,6,1,1,1,2,165,13.3,17.45,49.2,21.98,166,297,246,0.99,7.51,13.44,11.13,629,746,45.75,1264,1474,46.17,927,1086,46.05,71.78,89.38,44.54,ARI,ARI,R,C,30,United States,215,78,True,Right,ARI,False,2023-07-01,30,None,2,UFA,unrestricted,2025,2100000
Ryan Hartman,74,21,24,45,4,72,0.61,16,35,5,10,0,0,0,3,173,12.1,16.52,47.0,21.7,173,345,263,1.08,8.61,17.17,13.09,608,553,52.37,1296,1133,53.36,908,793,53.38,66.84,59.98,52.71,MIN,MIN,R,R,28,United States,189,72,True,Right,MIN,True,2021-04-22,26,NMC,3,RFA,unrestricted,2024,1700000
Anthony Cirelli,79,20,25,45,2,38,0.57,15,36,3,7,2,2,1,3,129,15.5,18.52,49.2,19.48,129,241,188,0.8,5.29,9.88,7.71,711,718,49.76,1477,1442,50.6,1047,1036,50.26,84.56,89.41,48.61,TBL,TBL,L,C,25,Canada,193,72,True,Left,TBL,True,2022-07-13,25,None,8,RFA,unrestricted,2031,6250000
Ivan Barbashev,82,19,26,45,15,42,0.55,16,40,3,5,0,0,0,3,122,15.6,16.12,42.5,19.16,121,235,179,0.88,5.57,10.82,8.24,742,657,53.04,1419,1337,51.49,1020,916,52.69,73.86,60.2,55.09,VGK,VGK,L,C,27,Russia,187,72,True,Left,VGK,True,2023-06-28,27,M-NTC,5,UFA,unrestricted,2028,5000000
